account_id,ticker,name_kr,quantity,valuation_price,purchase_price,valuation_amount,purchase_amount
ff068fee-f3c5-4941-9a4d-e15d1d4157d4,88980,맥쿼리인프라,336,11190,11552,3759840,3881472
ff068fee-f3c5-4941-9a4d-e15d1d4157d4,213630,PLUS 미국다우존스고배당주(합성 H),10,18485,18021,184850,180210
ff068fee-f3c5-4941-9a4d-e15d1d4157d4,292560,TIGER 일본엔선물,100,8530,8760,853000,876000
ff068fee-f3c5-4941-9a4d-e15d1d4157d4,305080,TIGER 미국채10년선물,50,13115,11906,655750,595300
ff068fee-f3c5-4941-9a4d-e15d1d4157d4,360200,ACE 미국S&P500,57,24925,23979,1420725,1366803
ff068fee-f3c5-4941-9a4d-e15d1d4157d4,367380,ACE 미국나스닥100,34,27990,26889,951660,914226
ff068fee-f3c5-4941-9a4d-e15d1d4157d4,402970,ACE 미국배당다우존스,50,12900,12004,645000,600200
ff068fee-f3c5-4941-9a4d-e15d1d4157d4,AUTO_Plus 신종 개인용 MMF2호 종류 C-p1e(연금저축),Plus 신종 개인용 MMF2호 종류 C-p1e(연금저축),5302006,1,,,5000000
ff068fee-f3c5-4941-9a4d-e15d1d4157d4,CASH_KRW,예수금,3290028,1,,,
3e84e330-6dc4-41de-93f9-b63ca744c127,CASH_KRW,예수금,2600804,1,,,
4746f6fb-b1d6-4606-b5ca-673d985301f6,0064K0,KODEX 금액티브,200,13260,12453,2652000,2490600
4746f6fb-b1d6-4606-b5ca-673d985301f6,88980,맥쿼리인프라,400,11620,12008,4648000,4803200
4746f6fb-b1d6-4606-b5ca-673d985301f6,160580,TIGER 구리실물,520,16020,12023,8330400,6251960
4746f6fb-b1d6-4606-b5ca-673d985301f6,379800,KODEX 미국S&P500,30,22605,18236,678150,547080
4746f6fb-b1d6-4606-b5ca-673d985301f6,411060,ACE KRX금현물,250,29290,21076,7322500,5269000
4746f6fb-b1d6-4606-b5ca-673d985301f6,429000,TIGER 미국S&P500배당귀족,50,12815,10499,640750,524950
4746f6fb-b1d6-4606-b5ca-673d985301f6,AUTO_미래에셋ETF로자산배분TDF2040증권자투자신탁1호(주식혼합-재간접형)종류C-P2e,미래에셋ETF로자산배분TDF2040증권자투자신탁1호(주식혼합-재간접형)종류C-P2e,5515302,1,,,4884890
4746f6fb-b1d6-4606-b5ca-673d985301f6,AUTO_미래에셋전략배분TDF2040혼합자산자투자신탁 종류CP2e,미래에셋전략배분TDF2040혼합자산자투자신탁 종류CP2e,19996276,1,,,14949018
4746f6fb-b1d6-4606-b5ca-673d985301f6,AUTO_미래에셋증권 디폴트옵션 중립투자형 포트폴리오 1,미래에셋증권 디폴트옵션 중립투자형 포트폴리오 1,8917479,1,,,7572329
4746f6fb-b1d6-4606-b5ca-673d985301f6,AUTO_미래에셋국공채전용MMFA1호(국공채)C-P2e (퇴직),미래에셋국공채전용MMFA1호(국공채)C-P2e (퇴직),10076093,1,,,10000000
4746f6fb-b1d6-4606-b5ca-673d985301f6,CASH_KRW,예수금,7846226,1,,,
3a56b6c8-a994-4bb3-ba79-341961480fce,0080G0,KODEX K방산TOP10,80,10115,9872,809200,789760
3a56b6c8-a994-4bb3-ba79-341961480fce,91160,KODEX 반도체,20,65480,51877,1309600,1037540
3a56b6c8-a994-4bb3-ba79-341961480fce,91180,KODEX 자동차,50,24950,20750,1247500,1037500
3a56b6c8-a994-4bb3-ba79-341961480fce,161510,PLUS 고배당주,30,21175,21215,635250,636450
3a56b6c8-a994-4bb3-ba79-341961480fce,284430,KODEX 200미국채혼합,40,17175,12235,687000,489400
3a56b6c8-a994-4bb3-ba79-341961480fce,305540,TIGER 2차전지테마,70,16600,20148,1162000,1410360
3a56b6c8-a994-4bb3-ba79-341961480fce,337140,KODEX 코스피대형주,20,21850,15397,437000,307940
3a56b6c8-a994-4bb3-ba79-341961480fce,278530,KODEX 코스피TR,50,22555,17115,1127750,855750
3a56b6c8-a994-4bb3-ba79-341961480fce,364970,TIGER 바이오TOP10,30,9225,9231,276750,276930
3a56b6c8-a994-4bb3-ba79-341961480fce,491820,HANARO 전력설비투자,55,28965,22973,1593075,1263515
3a56b6c8-a994-4bb3-ba79-341961480fce,AUTO_키움더드림단기채증권투자신탁[채권] Class C-P2e(퇴직연금),키움더드림단기채증권투자신탁[채권] Class C-P2e(퇴직연금),4291396,1,,,4000000
3a56b6c8-a994-4bb3-ba79-341961480fce,AUTO_미래에셋 디폴트옵션 중위험 포트폴리오2,미래에셋 디폴트옵션 중위험 포트폴리오2,5617145,1,,,4966843
3a56b6c8-a994-4bb3-ba79-341961480fce,CASH_KRW,예수금,1411958,1,,,
e2f314a4-1347-49d3-8630-012bdbbdd921,88980,맥쿼리인프라,20,11190,13802,223800,276040
0dfa7606-ba14-47f0-afd4-e7d414ace467,AAPL,애플,7.21908,392952,182.3,2793456,1857943
0dfa7606-ba14-47f0-afd4-e7d414ace467,BAC,뱅크오브아메리카,21.33015,79498,41.23,1695706,1271274
0dfa7606-ba14-47f0-afd4-e7d414ace467,GOOGL,알파벳 A,7.31152,452416,150.94,3263687,1448959
0dfa7606-ba14-47f0-afd4-e7d414ace467,IGM,ISHARES EXPANDED TECH SECTOR,0.413,186690,128.54,55296,54688
0dfa7606-ba14-47f0-afd4-e7d414ace467,KO,코카콜라,12.85844,101049,64.36,1246609,1078781
0dfa7606-ba14-47f0-afd4-e7d414ace467,MA,마스타카드,0.7,825161,373.41,577613,377812
0dfa7606-ba14-47f0-afd4-e7d414ace467,META,메타 플랫폼스(페이스북),0.43622,954107,641.39,363324,294414
0dfa7606-ba14-47f0-afd4-e7d414ace467,MSFT,마이크로소프트,3.49649,699034,354.22,2391591,1686149
0dfa7606-ba14-47f0-afd4-e7d414ace467,NEM,뉴몬트,10.64798,144325,39.31,1536772,780637
0dfa7606-ba14-47f0-afd4-e7d414ace467,NKE,나이키 B,4.34951,92088,145.56,400536,915104
0dfa7606-ba14-47f0-afd4-e7d414ace467,NVDA,엔비디아,4.06198,269571,126.07,1040851,546545
0dfa7606-ba14-47f0-afd4-e7d414ace467,PFE,화이자,3.92,35991,49.16,141085,278522
0dfa7606-ba14-47f0-afd4-e7d414ace467,PG,프록터 앤드 갬블,0.75979,207143,160.85,148687,167947
0dfa7606-ba14-47f0-afd4-e7d414ace467,TSLA,테슬라,3.09672,650034,269.13,1925824,1192304
0dfa7606-ba14-47f0-afd4-e7d414ace467,V,비자,0.13,506923,199.19,65900,42513
0dfa7606-ba14-47f0-afd4-e7d414ace467,AUTO_KRX금현물,KRX금현물,6,201250,150360,1207500,902160
0dfa7606-ba14-47f0-afd4-e7d414ace467,CASH_USD,예수금(달러),2924.04,1,,,
95eafbff-2397-4f5f-b916-57ce91f85fe8,88980,맥쿼리인프라,36,11190,13550,402840,487800
95eafbff-2397-4f5f-b916-57ce91f85fe8,AUTO_대신저축은행 예금,대신저축은행 예금,1048799,1,,,1033683
95eafbff-2397-4f5f-b916-57ce91f85fe8,AUTO_바로저축은행 예금,바로저축은행 예금,3694724,1,,,3676523
95eafbff-2397-4f5f-b916-57ce91f85fe8,AUTO_미래에셋 중위험 포트폴리오1,미래에셋 중위험 포트폴리오1,6495062,1,,,6427690
95eafbff-2397-4f5f-b916-57ce91f85fe8,CASH_KRW,예수금,3000000,1,,,3000000
c835a7a6-56cd-450e-b438-4fcb06f46d8d,402970,ACE 미국배당다우존스,30,12900,11093,387000,332790
c835a7a6-56cd-450e-b438-4fcb06f46d8d,AUTO_미래에셋TDF2035혼합자산투자신탁,미래에셋TDF2035혼합자산투자신탁,4000000,1,,,4000000
c835a7a6-56cd-450e-b438-4fcb06f46d8d,CASH_KRW,예수금,1700000,1,,,1700000
c835a7a6-56cd-450e-b438-4fcb06f46d8d,AUTO_Plus신종 개인용 MMF2호,Plus신종 개인용 MMF2호,5000000,1,,,5000000
c835a7a6-56cd-450e-b438-4fcb06f46d8d,AUTO_미래에셋솔로몬장기국공채,미래에셋솔로몬장기국공채,3000000,1,,,3000000
